Nama,Kategori,Harga,Waktu_Makan,Lokasi,Deskripsi,Rating,Waktu_Persiapan,Popularitas,Ketersediaan
Ayam Betutu,Pedas,55000,Makan Malam,Bali,Ayam utuh yang dibumbui rempah pedas dan dipanggang dalam daun pisang.,4.9,55,970,98
Lawar,Gurih/Umami,35000,Makan Siang,Bali,Campuran sayuran,4.6,25,880,92
Plecing Kangkung,Pedas,17000,Makan Siang,Nusa Tenggara Barat,Kangkung rebus yang disajikan dengan sambal terasi pedas khas Nusa Tenggara Barat.,4,10,750,86
Bubur Ayam,Gurih/Umami,15000,Sarapan,Jakarta,Bubur nasi lembut dengan suwiran ayam,4.2,15,850,93
Bubur Kacang Hijau,Manis,12000,Semua,Jawa Tengah,Bubur dari kacang hijau yang dimasak dengan santan dan gula merah.,4.1,20,780,89
Bubur Sumsum,Manis,10000,Camilan,Jawa Barat,Bubur lembut dari tepung beras dengan siraman saus gula merah dan santan.,4,15,720,87
Kopi Joss,Manis,18000,Semua,DIY Yogyakarta,Kopi arang khas Yogyakarta,4.5,10,850,92
Kopi Luwak,Gurih/Umami,95000,Semua,Sumatera,Kopi fermentasi alami oleh luwak,4.9,5,990,99
Teh Tarik,Manis,15000,Semua,Sumatera Utara,Teh yang ditarik hingga berbusa,4.3,8,830,91
Bir Pletok,Manis,15000,Semua,Jakarta,Minuman tradisional Betawi tanpa alkohol,4.1,10,750,88
Tamarind Drink,Asam,12000,Semua,Kepulauan Riau,Minuman asam jawa yang segar,4,5,700,85
Jamu Kunyit Asam,Asam,10000,Semua,Jawa Tengah,Minuman herbal tradisional dari kunyit dan asam jawa,4.2,10,800,90
Jamu Beras Kencur,Asin,10000,Semua,Jawa Tengah,Minuman herbal dari beras dan kencur,4.1,10,780,89
Kunyit Asam,Asam,10000,Semua,Jawa Tengah,Varian lain dari jamu kunyit asam,4.2,10,790,90
Beras Kencur,Asin,10000,Semua,Jawa Tengah,Varian lain dari jamu beras kencur,4.1,10,770,89
Temulawak,Asin,10000,Semua,Jawa Tengah,Minuman herbal dari temulawak,4,8,700,85
Sinom,Asam,10000,Semua,Jawa Timur,Minuman segar dari daun asam muda,4.1,10,720,86
Wedang Uwuh,Manis,15000,Semua,DIY Yogyakarta,Minuman rempah tradisional dengan aneka dedaunan dan akar,4.3,15,850,92
Sop Saudara,Gurih/Umami,45000,Makan Siang,Sulawesi Selatan,Sup daging sapi khas Makassar dengan kuah kaya rempah,4.7,40,900,94
Mie Cakalang,Gurih/Umami,35000,Makan Siang,Sulawesi Utara,Mi dengan potongan ikan cakalang asap dan kuah kaldu ikan yang gurih.,4.4,25,830,89
Bubur Manado,Gurih/Umami,20000,Sarapan,Sulawesi Utara,Bubur nasi yang dicampur dengan berbagai sayuran,4.2,20,780,90
Ayam Rica-rica,Pedas,38000,Makan Siang,Sulawesi Utara,Ayam yang dimasak dengan bumbu pedas khas Manado,4.6,35,900,95
Kakap Woku,Pedas,60000,Makan Malam,Sulawesi Utara,Ikan kakap dengan bumbu woku pedas khas Manado,4.7,40,920,96
Cakalang Fufu,Gurih/Umami,45000,Makan Malam,Sulawesi Utara,Ikan cakalang yang diasap,4.5,30,880,90
Paniki,Pedas,75000,Makan Malam,Sulawesi Utara,Olahan daging kelelawar dengan bumbu pedas,3.5,50,600,70
Klappertaart,Manis,30000,Camilan,Sulawesi Utara,Kue kelapa panggang khas Manado,4.4,45,850,92
Barongko,Manis,12000,Camilan,Sulawesi Selatan,Kue pisang kukus yang dibungkus daun pisang,4,25,700,85
Cucur,Manis,8000,Camilan,Kepulauan Riau,Kue goreng berbentuk bulat dengan pinggiran berserat,3.8,15,680,82
Panada,Gurih/Umami,10000,Camilan,Sulawesi Utara,Roti goreng isi ikan cakalang pedas,4.2,20,750,88
Bika Ambon,Manis,30000,Camilan,Sumatera Utara,Kue bersarang khas Medan,4.5,40,870,91
Bolu Meranti,Manis,40000,Camilan,Sumatera Utara,Bolu gulung khas Medan,4.6,30,910,93
Soto Medan,Gurih/Umami,38000,Makan Siang,Sumatera Utara,Soto dengan kuah santan kuning kental,4.4,35,860,90
Arsik Ikan Mas,Pedas,45000,Makan Malam,Sumatera Utara,Ikan mas yang dimasak dengan bumbu kuning pedas khas Batak,4.7,45,900,92
Babi Panggang Karo,Gurih/Umami,70000,Makan Malam,Sumatera Utara,Daging babi panggang khas Karo,3.9,50,680,75
Mi Gomak,Gurih/Umami,25000,Makan Siang,Sumatera Utara,Mi lidi dengan kuah kari kental,4.2,25,780,87
Saksang,Pedas,60000,Makan Malam,Sumatera Utara,Olahan daging babi atau anjing dengan darah,3,40,500,65
Lemang,Gurih/Umami,20000,Semua,Sumatera Utara,Ketan yang dimasak dalam bambu,4,60,750,88
Anyang,Asam,18000,Makan Siang,Sumatera Utara,Salad sayuran khas Mandailing dengan bumbu kelapa sangrai dan asam.,4.1,20,690,80
Balado Terong,Pedas,20000,Makan Siang,Sumatera Barat,Terong yang digoreng dan dimasak dengan sambal balado pedas.,4,15,750,87
Paru Goreng,Gurih/Umami,30000,Semua,Sumatera Barat,Paru sapi yang digoreng hingga garing,4.2,20,800,89
Nasi Kapau,Gurih/Umami,35000,Makan Siang,Sumatera Barat,Nasi dengan aneka lauk pauk khas Kapau,4.6,10,890,95
Sate Padang,Pedas,35000,Makan Malam,Sumatera Barat,Sate lidah sapi dengan kuah kuning kental pedas,4.7,30,920,96
Lamang Tapai,Manis,25000,Camilan,Sumatera Barat,Ketan bakar dalam bambu yang disajikan dengan tapai ketan hitam.,4.3,60,700,85
Kacang Padi,Asin,10000,Camilan,Sumatera Barat,Kacang tanah yang digoreng dengan tepung,3.8,10,650,80
Keripik Balado,Pedas,15000,Camilan,Sumatera Barat,Keripik singkong yang dibumbui pedas balado,4.2,15,800,90
Bubur Kampiun,Manis,20000,Sarapan,Sumatera Barat,Bubur campuran dari berbagai jenis bubur manis dan kolak.,4.5,20,850,92
Dadiah,Asam,25000,Sarapan,Sumatera Barat,Fermentasi susu kerbau tradisional,3.7,,580,75
Kue Talam,Manis,9000,Camilan,Kepulauan Riau,Kue tradisional dari tepung beras dan santan,4,20,700,88
Bika Salak,Manis,15000,Camilan,Sumatera Barat,Kue bika dengan aroma dan rasa buah salak,4.1,30,680,80
Kue Bingka,Manis,18000,Camilan,Kalimantan Selatan,Kue panggang dengan bahan dasar tepung terigu,4.3,40,750,89
Lempok Durian,Manis,30000,Camilan,Sumatera Selatan,Dodol dari buah durian asli,4.6,50,890,93
Tempoyak,Asam,20000,Semua,Sumatera Selatan,Fermentasi daging durian,3.5,10,600,70
Otak-otak Palembang,Asin,15000,Camilan,Sumatera Selatan,Olahan ikan panggang yang dibungkus daun pisang,4.2,20,800,90
Pindang Patin,Asam,35000,Makan Siang,Sumatera Selatan,Ikan patin berkuah asam pedas segar khas Palembang.,4.5,30,870,92
Kue Kojo,Manis,30000,Camilan,Sumatera Selatan,Kue khas Palembang berwarna hijau dengan aroma pandan dan santan.,4.5,50,850,90
Engkak Ketan,Manis,35000,Camilan,Sumatera Selatan,Kue lapis dari tepung ketan yang lembut dan manis,4.6,55,880,92
Pempek Kapal Selam,Asin,25000,Camilan,Sumatera Selatan,Pempek besar berisi telur ayam utuh,4.8,30,970,98
Pempek Lenjer,Asin,20000,Camilan,Sumatera Selatan,Pempek berbentuk lonjong panjang,4.6,25,950,97
Pempek Adaan,Asin,20000,Camilan,Sumatera Selatan,Pempek berbentuk bulat kecil,4.5,20,930,96
Pempek Keriting,Asin,20000,Camilan,Sumatera Selatan,Pempek berbentuk keriting,4.4,25,900,94
Pempek Panggang,Asin,20000,Camilan,Sumatera Selatan,Pempek yang dipanggang langsung,4.3,20,880,93
Pempek Tunu,Asin,20000,Camilan,Sumatera Selatan,Mirip pempek panggang,4.2,20,850,92
Celimpungan,Gurih/Umami,25000,Makan Siang,Sumatera Selatan,Mirip pempek namun berkuah santan kental,4,25,790,88
Burgo,Gurih/Umami,20000,Sarapan,Sumatera Selatan,Dadar gulung tepung beras yang disiram kuah santan ikan,3.9,30,750,87
Lakso,Gurih/Umami,22000,Sarapan,Sumatera Selatan,Mi putih tebal berkuah santan ikan,4,25,770,89
Mi Celor,Gurih/Umami,30000,Makan Siang,Sumatera Selatan,Mi tebal dengan kuah santan udang kental dan tauge,4.5,20,880,93
Martabak Har,Gurih/Umami,40000,Makan Malam,Sumatera Selatan,Martabak telur dengan kuah kari khas Palembang,4.6,30,910,94
Kemplang,Asin,15000,Camilan,Sumatera Selatan,Kerupuk ikan khas Palembang yang dipanggang,4,15,800,90
Kerupuk Kulit,Asin,20000,Camilan,Kepulauan Riau,Kerupuk dari kulit sapi atau kerbau yang digoreng,4.1,10,850,95
Kerupuk Ikan,Asin,15000,Camilan,Kepulauan Riau,Kerupuk dari adonan ikan dan tepung,4,10,820,93
Cuko Pempek,Asam,5000,Semua,Sumatera Selatan,Saus cuka asam pedas yang wajib ada saat menyantap pempek.,4.8,5,980,100
Brengkes Tempoyak,Asam,30000,Makan Siang,Sumatera Selatan,Olahan ikan patin yang dibungkus daun pisang dengan tempoyak (fermentasi durian)..,4.3,35,750,85
Kue Putri Salju,Manis,30000,Camilan,Kepulauan Riau,Kue kering dengan taburan gula halus,4.6,25,920,96
Kue Kastengel,Asin,35000,Camilan,Kepulauan Riau,Kue kering keju yang renyah dan gurih,4.7,25,940,97
Kue Lidah Kucing,Manis,28000,Camilan,Kepulauan Riau,Kue kering tipis berbentuk lidah,4.5,20,880,93
Kue Sagu Keju,Gurih/Umami,30000,Camilan,Kepulauan Riau,Kue kering dari tepung sagu dan keju,4.6,25,900,94
Kue Akar Kelapa,Manis,20000,Camilan,Jakarta,Kue kering renyah berbentuk seperti akar kelapa,4.2,15,750,88
Kue Kacang,Manis,25000,Camilan,Kepulauan Riau,Kue kering dari adonan kacang tanah,4.3,20,800,90
Kue Bolu,Manis,25000,Camilan,Kepulauan Riau,Kue panggang bertekstur lembut dan mengembang,4.4,30,850,92
Brownies Kukus,Manis,35000,Camilan,Jawa Barat,Kue cokelat kukus yang lembut dan legit,4.7,40,910,95
Bolu Pandan,Manis,28000,Camilan,Kepulauan Riau,Bolu dengan aroma dan warna hijau alami dari pandan,4.5,35,870,93
Bolu Gulung,Manis,30000,Camilan,Kepulauan Riau,Bolu tipis yang digulung dengan isian krim atau selai,4.6,30,890,94
Lapis Legit,Manis,90000,Camilan,Jakarta,Kue lapis khas yang dibuat dari banyak lapisan tipis adonan,4.9,60,980,99
Lapis Surabaya,Manis,75000,Camilan,Jawa Timur,Kue lapis tiga warna dengan lapisan cokelat dan kuning,4.8,50,950,97
Spikoe,Manis,70000,Camilan,Jawa Timur,Kue lapis tradisional Surabaya,4.7,50,930,96
Bingka Kentang,Manis,20000,Camilan,Kalimantan Selatan,Kue panggang dari kentang dan santan,4.2,30,780,89
Carabikang,Manis,9000,Camilan,Jawa Tengah,Kue tradisional berwarna-warni yang mekar seperti bunga.,4,15,700,85
Sego Sambel,Pedas,20000,Makan Malam,Jawa Timur,Nasi dengan aneka lauk goreng (ayam/tahu/tempe) dan sambal pedas ulek.,4.2,15,780,87
Rawon Setan,Pedas,50000,Makan Malam,Jawa Timur,Rawon dengan sensasi pedas yang luar biasa,4.8,40,950,96
Bakso Malang,Gurih/Umami,27000,Makan Siang,Jawa Timur,Bakso dengan tambahan siomay,4.5,20,900,94
Cwie Mie Malang,Gurih/Umami,28000,Makan Siang,Jawa Timur,Mi ayam khas Malang dengan topping pangsit goreng dan acar,4.3,15,870,92
Tahu Telor,Gurih/Umami,22000,Makan Siang,Jawa Timur,Tahu goreng dan telur dadar yang disiram bumbu kacang petis.,4.1,15,800,88
Lontong Kupang,Gurih/Umami,25000,Makan Siang,Jawa Timur,Lontong dengan kupang (kerang kecil) dan lentho,4,20,780,85
Sate Klopo,Gurih/Umami,35000,Makan Malam,Jawa Timur,Sate daging sapi yang dibumbui parutan kelapa,4.6,30,890,93
Nasi Goreng Jancuk,Pedas,40000,Makan Malam,Jawa Timur,Nasi goreng super pedas dengan porsi jumbo,4.9,25,980,97
Gado-gado Siram,Gurih/Umami,28000,Makan Siang,Jakarta,Gado-gado dengan bumbu kacang yang disiram langsung,4.4,15,850,90
Tahu Gejrot,Pedas,15000,Camilan,Jawa Barat,Tahu goreng dipotong kecil,4.2,10,800,92
Empal Gentong Cirebon,Gurih/Umami,40000,Makan Siang,Jawa Barat,Varian Empal Gentong dari Cirebon,4.6,35,910,95
Sate Kalong,Gurih/Umami,30000,Makan Malam,Jawa Barat,Sate daging sapi yang diolah dengan bumbu khas,4.3,25,780,88
Mie Koclok,Gurih/Umami,28000,Makan Siang,Jawa Barat,Mi dengan kuah santan kental,4.4,20,820,90
Nasi Lengko Cirebon,Gurih/Umami,22000,Sarapan,Jawa Barat,Varian Nasi Lengko khas Cirebon,4.2,15,760,87
Es Gombyang,Manis,15000,Semua,Jawa Barat,Es serut dengan cendol,4,10,700,85
Kerupuk Melarat,Asin,8000,Camilan,Jawa Barat,Kerupuk yang digoreng tanpa minyak,3.8,5,650,80
Nasi Tutug Oncom,Gurih/Umami,25000,Makan Siang,Jawa Barat,Nasi yang dicampur dengan oncom bakar,4.5,15,880,93
Surabi Bandung,Manis,12000,Camilan,Jawa Barat,Pancake beras tradisional,4.3,15,820,91
Lotek,Pedas,22000,Makan Siang,Jawa Barat,Salad sayuran rebus dengan bumbu kacang pedas,4.2,15,790,88
Batagor,Gurih/Umami,20000,Camilan,Jawa Barat,Bakso tahu goreng,4.5,20,910,95
Siomay Bandung,Gurih/Umami,20000,Camilan,Jawa Barat,Siomay ikan kukus dengan kentang,4.4,20,900,94
Cuanki,Gurih/Umami,18000,Camilan,Jawa Barat,Bakso tahu aci kuah,4,10,750,87
Seblak,Pedas,15000,Camilan,Jawa Barat,Kerupuk basah yang dimasak dengan bumbu pedas,4.6,15,930,96
Cilor,Asin,10000,Camilan,Jawa Barat,Aci digoreng dicolok,3.8,10,680,80
